cliente_id,data_compra,valor_compra,produto_id,canal,cidade,device
cliente_8,2024-08-07 02:18:28.740464,848.35,produto_2,callcenter,Rio de Janeiro,iOS
,2025-01-09 02:18:28.740472,272.99,produto_4,app,São Paulo,iOS
cliente_8,2024-06-26 02:18:28.740477,633.73,produto_2,app,Rio de Janeiro,iOS
cliente_8,2024-12-10 02:18:28.740482,629.48,,callcenter,,iOS
cliente_8,2024-05-09 02:18:28.740488,455.89,produto_1,web,,iOS
cliente_8,2025-04-13 02:18:28.740493,284.31,produto_3,web,São Paulo,Android
cliente_8,2024-09-20 02:18:28.740498,1588.69,produto_2,callcenter,São Paulo,Android
cliente_8,2024-06-14 02:18:28.740504,1979.26,produto_3,,Curitiba,iOS
,2024-08-17 02:18:28.740511,1843.01,produto_5,callcenter,São Paulo,Android
cliente_9,2025-05-03 02:18:28.740517,217.68,produto_5,callcenter,Curitiba,iOS
cliente_9,2025-01-26 02:18:28.740522,472.3,produto_1,callcenter,Belo Horizonte,iOS
cliente_9,2024-09-10 02:18:28.740528,828.56,produto_5,app,São Paulo,
cliente_9,2025-04-20 02:18:28.740534,624.79,produto_2,app,Rio de Janeiro,
cliente_9,2025-03-09 02:18:28.740539,1945.24,produto_2,,Rio de Janeiro,iOS
cliente_9,2025-01-19 02:18:28.740544,1395.76,produto_5,web,Belo Horizonte,iOS
cliente_9,2025-03-26 02:18:28.740551,1624.9,produto_1,callcenter,Curitiba,Android
cliente_10,2024-12-02 02:18:28.740561,610.41,produto_5,web,Curitiba,Desktop
cliente_10,2024-09-11 02:18:28.740571,,produto_3,callcenter,Curitiba,iOS
cliente_10,2024-11-14 02:18:28.740580,675.79,produto_4,callcenter,Rio de Janeiro,Android
cliente_10,2024-08-18 02:18:28.740607,94.65,produto_2,web,,iOS
cliente_11,,92.75,produto_3,,Porto Alegre,Android
cliente_11,2025-04-20 02:18:28.740621,417.58,,app,Porto Alegre,Desktop
cliente_11,2025-04-17 02:18:28.740626,1989.36,produto_3,callcenter,Belo Horizonte,iOS
cliente_11,2025-01-14 02:18:28.740631,655.25,produto_1,web,Porto Alegre,Android
,2025-04-21 02:18:28.740639,438.19,produto_5,web,,Desktop
cliente_12,2024-12-28 02:18:28.740645,1634.72,,callcenter,,iOS
cliente_12,2025-02-23 02:18:28.740651,1350.07,produto_2,app,Belo Horizonte,iOS
,2025-03-12 02:18:28.740656,1881.36,,app,Rio de Janeiro,Android
cliente_12,2024-12-29 02:18:28.740662,1305.86,,callcenter,São Paulo,Android
cliente_13,2025-03-11 02:18:28.740668,201.87,produto_1,web,Belo Horizonte,iOS
cliente_13,2024-07-08 02:18:28.740673,736.92,produto_2,web,Curitiba,Desktop
cliente_13,,1003.95,produto_2,,Curitiba,Desktop
cliente_13,2025-04-04 02:18:28.740696,690.12,produto_5,web,Curitiba,Android
cliente_14,2024-06-20 02:18:28.740704,311.09,produto_4,web,Porto Alegre,Desktop
cliente_14,2024-07-12 02:18:28.740713,276.94,produto_1,web,Rio de Janeiro,Android
cliente_14,2025-04-13 02:18:28.740722,142.32,produto_4,web,São Paulo,
cliente_14,2024-10-06 02:18:28.740733,771.51,produto_2,app,Curitiba,Android
cliente_15,2024-06-01 02:18:28.740741,898.11,produto_1,callcenter,Belo Horizonte,Desktop
cliente_15,2024-11-12 02:18:28.740747,429.4,produto_2,app,Belo Horizonte,Desktop
cliente_15,,1481.15,produto_3,,Belo Horizonte,Android
,2024-11-22 02:18:28.740778,1190.03,produto_5,web,Porto Alegre,Android
cliente_15,2025-02-28 02:18:28.740783,1510.62,produto_4,app,Porto Alegre,Android
,2024-08-28 02:18:28.740799,689.88,produto_5,callcenter,Rio de Janeiro,Android
,2024-11-08 02:18:28.740805,686.05,produto_4,,Porto Alegre,Desktop
,2025-03-08 02:18:28.740810,1191.45,produto_3,,Rio de Janeiro,iOS
cliente_15,2025-03-28 02:18:28.740815,1596.89,produto_1,web,São Paulo,Android
cliente_15,2024-11-10 02:18:28.740820,963.61,produto_4,app,Porto Alegre,Desktop
cliente_15,2025-03-31 02:18:28.740830,,produto_2,web,Rio de Janeiro,iOS
cliente_16,2024-08-06 02:18:28.740841,1891.6,produto_2,web,Curitiba,iOS
cliente_16,2024-10-18 02:18:28.740850,1343.66,produto_3,app,Belo Horizonte,Android
cliente_16,,1631.92,produto_3,callcenter,Belo Horizonte,Android
cliente_16,2024-10-03 02:18:28.740862,,,callcenter,São Paulo,iOS
cliente_16,2024-11-05 02:18:28.740867,573.07,produto_2,web,Belo Horizonte,Desktop
cliente_16,2025-05-07 02:18:28.740872,1792.7,produto_4,callcenter,Belo Horizonte,Desktop
cliente_16,2025-03-07 02:18:28.740877,702.01,,app,Rio de Janeiro,Desktop
,2024-10-01 02:18:28.740884,1588.66,produto_2,app,Belo Horizonte,Android
cliente_17,2024-05-14 02:18:28.740891,1106.75,produto_3,app,Rio de Janeiro,iOS
cliente_17,2025-04-29 02:18:28.740902,271.72,produto_2,callcenter,Curitiba,Android
cliente_17,2025-01-16 02:18:28.740908,1633.46,produto_1,web,Curitiba,iOS
cliente_17,2024-09-26 02:18:28.740913,159.32,produto_5,app,Belo Horizonte,
cliente_17,2024-12-26 02:18:28.740919,172.87,produto_5,web,Rio de Janeiro,Desktop
cliente_17,2024-12-17 02:18:28.740926,1087.31,produto_3,web,Rio de Janeiro,Android
cliente_17,2024-06-04 02:18:28.740931,83.59,produto_5,app,São Paulo,Desktop
,2024-05-19 02:18:28.740936,,produto_2,app,Rio de Janeiro,Android
cliente_17,,1299.78,produto_2,callcenter,Porto Alegre,iOS
cliente_17,2024-10-28 02:18:28.740948,301.69,produto_5,web,,
cliente_17,2025-02-07 02:18:28.740953,,produto_2,callcenter,Porto Alegre,Desktop
cliente_18,2024-12-31 02:18:28.740959,992.72,produto_4,callcenter,São Paulo,Android
cliente_18,,1067.55,,app,Curitiba,Android
cliente_18,2025-01-12 02:18:28.740970,233.14,produto_2,callcenter,Belo Horizonte,iOS
,2024-06-02 02:18:28.740976,1895.69,produto_1,app,Porto Alegre,Desktop
,2024-12-18 02:18:28.740982,849.04,,callcenter,Rio de Janeiro,
cliente_18,2024-10-26 02:18:28.740991,1411.93,produto_1,web,Belo Horizonte,Android
cliente_19,2025-02-22 02:18:28.741002,793.06,produto_2,,Curitiba,iOS
,2024-09-23 02:18:28.741010,,produto_5,app,Rio de Janeiro,Desktop
cliente_19,2024-09-19 02:18:28.741026,258.65,produto_1,web,Belo Horizonte,Desktop
cliente_19,2024-10-16 02:18:28.741042,1128.97,produto_4,app,Curitiba,Desktop
cliente_19,2024-07-26 02:18:28.741051,1504.72,produto_3,app,Porto Alegre,Android
cliente_19,,266.72,,web,Belo Horizonte,
cliente_19,2025-03-03 02:18:28.741077,,produto_5,web,Belo Horizonte,Desktop
cliente_20,2024-05-21 02:18:28.741087,1082.27,produto_4,web,São Paulo,iOS
cliente_20,2024-10-22 02:18:28.741092,1622.13,produto_1,,Belo Horizonte,iOS
,2024-07-16 02:18:28.741097,979.39,produto_4,callcenter,Rio de Janeiro,Desktop
cliente_20,2024-06-29 02:18:28.741103,1332.96,produto_2,,Curitiba,Android
cliente_20,2025-03-02 02:18:28.741117,598.62,produto_5,callcenter,Rio de Janeiro,Android
,,,produto_1,web,São Paulo,iOS
cliente_20,2024-10-20 02:18:28.741133,1638.15,produto_2,web,Belo Horizonte,Desktop
cliente_20,2024-05-21 02:18:28.741138,944.32,,web,Curitiba,Android
cliente_20,,,produto_1,web,Porto Alegre,iOS
cliente_20,2025-05-07 02:18:28.741150,456.83,produto_2,app,,Desktop
cliente_20,2025-01-27 02:18:28.741155,,produto_1,callcenter,Curitiba,Android
cliente_20,2025-05-05 02:18:28.741160,729.77,produto_1,callcenter,Curitiba,Desktop
cliente_21,2025-05-06 02:18:28.741167,1944.9,produto_2,,Belo Horizonte,
,2024-12-26 02:18:28.741172,1697.15,produto_5,app,Rio de Janeiro,Desktop
cliente_21,2024-09-05 02:18:28.741185,1503.54,produto_5,web,São Paulo,
cliente_21,2025-04-03 02:18:28.741191,806.15,produto_4,web,Rio de Janeiro,Android
cliente_21,2024-05-25 02:18:28.741197,,produto_3,callcenter,Curitiba,Desktop
cliente_22,2024-07-16 02:18:28.741203,418.83,produto_2,app,São Paulo,Android
cliente_22,2024-11-06 02:18:28.741209,1909.3,produto_1,callcenter,,Android
cliente_22,2024-05-23 02:18:28.741214,1585.18,produto_4,web,Porto Alegre,Desktop
cliente_22,2024-06-23 02:18:28.741219,614.1,produto_5,web,Rio de Janeiro,Desktop
cliente_22,2025-04-29 02:18:28.741225,432.38,produto_1,web,Rio de Janeiro,Desktop
cliente_22,,1595.16,produto_3,,Porto Alegre,Android
cliente_22,2024-07-12 02:18:28.741235,,produto_5,app,Rio de Janeiro,Desktop
cliente_22,2025-04-28 02:18:28.741242,1102.16,produto_1,callcenter,,Android
cliente_22,2024-06-16 02:18:28.741247,1648.19,produto_2,app,São Paulo,Desktop
cliente_22,2025-02-10 02:18:28.741266,697.42,,callcenter,Belo Horizonte,Desktop
cliente_23,2025-04-12 02:18:28.741277,1013.69,produto_5,app,São Paulo,iOS
cliente_23,2025-04-21 02:18:28.741286,467.65,produto_5,web,Rio de Janeiro,Desktop
cliente_23,2024-07-08 02:18:28.741294,1422.28,produto_3,callcenter,Belo Horizonte,Android
cliente_23,2024-12-13 02:18:28.741303,1792.92,produto_5,web,Porto Alegre,Android
cliente_23,2024-10-02 02:18:28.741311,1323.59,produto_5,app,Curitiba,
,2025-02-25 02:18:28.741322,763.93,produto_5,web,São Paulo,Desktop
cliente_23,2025-03-28 02:18:28.741328,,produto_3,web,Curitiba,
cliente_24,2024-10-16 02:18:28.741335,136.99,produto_3,callcenter,Curitiba,
cliente_24,2024-06-02 02:18:28.741340,1665.33,produto_2,callcenter,Rio de Janeiro,Android
cliente_24,,283.44,produto_3,app,Curitiba,Android
cliente_25,2024-05-21 02:18:28.741352,132.79,produto_1,callcenter,Porto Alegre,iOS
cliente_25,2025-02-11 02:18:28.741357,1095.93,produto_3,callcenter,Rio de Janeiro,iOS
,,545.67,,app,,iOS
cliente_25,2024-10-13 02:18:28.741371,772.58,produto_2,app,Curitiba,iOS
cliente_25,2025-02-14 02:18:28.741381,1810.22,produto_4,app,Belo Horizonte,iOS
cliente_25,2025-02-18 02:18:28.741389,,,app,Curitiba,Desktop
cliente_25,2025-01-20 02:18:28.741397,678.5,produto_4,app,Rio de Janeiro,Android
cliente_25,,171.07,produto_2,,Porto Alegre,Desktop
cliente_25,2024-09-24 02:18:28.741415,874.43,produto_3,app,São Paulo,iOS
cliente_25,2025-03-01 02:18:28.741425,,produto_2,web,Rio de Janeiro,iOS
cliente_25,2025-05-02 02:18:28.741434,358.76,produto_4,,Belo Horizonte,Desktop
cliente_25,2025-04-28 02:18:28.741443,579.95,produto_1,callcenter,São Paulo,Android
cliente_25,2024-05-12 02:18:28.741452,263.45,produto_2,web,Curitiba,iOS
cliente_25,2025-04-11 02:18:28.741483,1414.24,produto_2,web,Porto Alegre,Desktop
cliente_25,2025-04-15 02:18:28.741490,1126.93,produto_2,app,Porto Alegre,iOS
cliente_26,2024-09-24 02:18:28.741499,500.02,produto_4,app,Rio de Janeiro,Desktop
cliente_26,2025-01-28 02:18:28.741504,883.44,produto_4,web,Curitiba,Desktop
cliente_26,2024-12-29 02:18:28.741509,1151.03,produto_5,callcenter,Belo Horizonte,Desktop
cliente_26,2025-01-24 02:18:28.741514,1637.64,produto_2,app,Belo Horizonte,Android
cliente_26,2024-08-23 02:18:28.741520,1711.47,produto_1,,,Android
cliente_26,2024-10-21 02:18:28.741526,843.67,produto_1,web,Belo Horizonte,Desktop
cliente_26,2024-12-06 02:18:28.741531,1347.2,produto_3,callcenter,Belo Horizonte,Desktop
cliente_26,2025-01-07 02:18:28.741537,1690.62,produto_3,,Rio de Janeiro,
cliente_26,2024-08-06 02:18:28.741542,970.87,produto_4,web,Curitiba,iOS
cliente_27,2024-11-12 02:18:28.741548,1904.63,produto_4,app,Curitiba,Android
cliente_27,2025-01-26 02:18:28.741697,407.15,produto_2,app,Porto Alegre,Desktop
cliente_27,2024-09-05 02:18:28.741712,1959.24,produto_5,app,Curitiba,iOS
cliente_27,,1437.34,produto_5,app,São Paulo,iOS
cliente_27,2025-02-28 02:18:28.741723,1022.99,,web,Curitiba,Desktop
cliente_27,2025-01-27 02:18:28.741728,1317.64,produto_3,callcenter,São Paulo,Desktop
cliente_27,2024-12-28 02:18:28.741733,1526.26,produto_2,app,,Desktop
cliente_27,2025-02-15 02:18:28.741747,157.96,produto_4,callcenter,Curitiba,iOS
cliente_27,2025-01-16 02:18:28.741753,,produto_4,,,Android
cliente_27,2025-01-24 02:18:28.741759,1956.47,produto_3,callcenter,Rio de Janeiro,iOS
cliente_27,2024-09-04 02:18:28.741764,135.19,produto_3,app,Porto Alegre,Desktop
cliente_27,2024-11-09 02:18:28.741773,381.62,produto_1,callcenter,Belo Horizonte,iOS
cliente_28,,805.83,produto_1,app,Rio de Janeiro,iOS
cliente_28,2024-06-10 02:18:28.741793,1792.86,produto_3,web,São Paulo,Desktop
cliente_28,2024-09-21 02:18:28.741799,1193.09,produto_1,app,Rio de Janeiro,iOS
,2024-07-29 02:18:28.741806,1437.08,produto_1,web,Belo Horizonte,iOS
cliente_28,2024-12-27 02:18:28.741811,509.11,produto_3,callcenter,,Desktop
cliente_29,2025-01-19 02:18:28.741817,998.97,produto_2,callcenter,São Paulo,Desktop
,2024-10-03 02:18:28.741822,,produto_5,web,Curitiba,iOS
cliente_29,2025-01-28 02:18:28.741827,400.09,produto_4,app,Porto Alegre,
cliente_30,2024-09-24 02:18:28.741833,788.13,,,Belo Horizonte,iOS
cliente_30,2024-09-16 02:18:28.741838,,produto_4,web,São Paulo,Android
cliente_30,,281.53,produto_2,web,Belo Horizonte,Android
,2024-06-17 02:18:28.741851,1369.6,produto_2,callcenter,São Paulo,Android
cliente_31,2024-11-20 02:18:28.741856,826.14,,web,São Paulo,Desktop
cliente_31,,407.69,produto_4,app,Rio de Janeiro,Desktop
cliente_31,2024-12-04 02:18:28.741872,489.7,produto_1,app,São Paulo,
,2025-03-28 02:18:28.741878,1003.23,produto_2,web,,Desktop
cliente_32,2024-05-25 02:18:28.741885,1129.17,produto_4,callcenter,Belo Horizonte,Desktop
cliente_32,2025-02-12 02:18:28.741890,240.7,produto_5,app,Curitiba,
cliente_32,2024-06-15 02:18:28.741896,450.11,produto_5,callcenter,São Paulo,iOS
cliente_32,,289.21,produto_5,app,Belo Horizonte,iOS
cliente_32,2024-11-26 02:18:28.741910,1125.87,produto_1,callcenter,,iOS
cliente_32,2024-12-29 02:18:28.741918,844.99,produto_3,app,Curitiba,Desktop
,2024-11-18 02:18:28.741927,1362.29,produto_4,web,Belo Horizonte,Desktop
,2024-05-16 02:18:28.741943,1507.86,produto_2,app,Porto Alegre,iOS
,2024-09-07 02:18:28.741950,842.3,produto_4,web,Porto Alegre,iOS
cliente_33,2024-08-04 02:18:28.741955,1814.23,produto_4,callcenter,Porto Alegre,
cliente_33,2024-11-29 02:18:28.741960,,produto_5,,Porto Alegre,iOS
cliente_33,2024-07-06 02:18:28.741965,1269.82,produto_3,callcenter,Curitiba,Android
cliente_33,2025-02-07 02:18:28.741970,1887.6,produto_2,app,Rio de Janeiro,
cliente_33,2025-04-22 02:18:28.741976,1163.39,produto_3,app,São Paulo,Desktop
cliente_33,2025-03-02 02:18:28.741981,648.05,produto_5,app,Porto Alegre,iOS
cliente_33,2024-06-30 02:18:28.741987,220.27,produto_1,app,Belo Horizonte,Desktop
,2024-12-06 02:18:28.741996,1076.24,produto_2,app,Belo Horizonte,iOS
cliente_33,2025-01-20 02:18:28.742002,777.02,produto_4,web,,Desktop
cliente_33,2024-06-12 02:18:28.742007,,produto_1,,Curitiba,
cliente_33,2024-05-23 02:18:28.742013,,produto_2,callcenter,Porto Alegre,Android
cliente_33,2025-02-04 02:18:28.742018,329.89,produto_1,app,,Desktop
cliente_33,2025-02-01 02:18:28.742023,330.69,produto_1,callcenter,Curitiba,Android
cliente_34,2025-02-15 02:18:28.742030,1503.6,produto_4,callcenter,Porto Alegre,iOS
cliente_34,2025-04-11 02:18:28.742037,120.31,produto_2,,Belo Horizonte,Desktop
cliente_34,2024-12-03 02:18:28.742042,150.8,produto_1,callcenter,Curitiba,iOS
cliente_34,2024-05-26 02:18:28.742047,1001.71,produto_2,app,Belo Horizonte,iOS
cliente_34,2024-06-28 02:18:28.742053,398.51,produto_1,app,São Paulo,Android
cliente_34,,679.8,produto_2,callcenter,Belo Horizonte,Android
cliente_34,2025-04-06 02:18:28.742063,1551.45,produto_3,web,Belo Horizonte,Desktop
cliente_34,2024-05-20 02:18:28.742068,,produto_2,app,São Paulo,Desktop
cliente_34,,1068.23,produto_3,web,Rio de Janeiro,iOS
cliente_35,2025-01-28 02:18:28.742081,1304.44,produto_5,web,Rio de Janeiro,Android
cliente_35,2024-09-01 02:18:28.742086,1249.77,produto_4,callcenter,Rio de Janeiro,
cliente_35,2024-08-25 02:18:28.742091,671.37,produto_1,web,São Paulo,
cliente_35,2025-01-23 02:18:28.742101,682.4,produto_4,,Curitiba,Desktop
cliente_35,2024-12-29 02:18:28.742106,254.63,produto_4,app,Curitiba,iOS
cliente_35,2024-05-11 02:18:28.742111,268.62,produto_5,web,São Paulo,iOS
cliente_35,2024-05-20 02:18:28.742120,1620.03,produto_5,web,Belo Horizonte,iOS
,2024-06-24 02:18:28.742129,1009.43,produto_1,app,Rio de Janeiro,Desktop
cliente_35,2025-03-11 02:18:28.742138,,produto_1,callcenter,Rio de Janeiro,iOS
cliente_36,,1371.51,produto_2,web,,iOS
,2025-03-07 02:18:28.742157,1075.62,,web,Porto Alegre,Desktop
cliente_36,2024-09-19 02:18:28.742164,1146.21,produto_5,callcenter,Belo Horizonte,iOS
cliente_36,2024-08-20 02:18:28.742172,575.89,produto_3,web,Curitiba,Android
cliente_36,2025-05-02 02:18:28.742181,1240.63,produto_3,,Belo Horizonte,iOS
cliente_36,2024-06-27 02:18:28.742189,411.59,produto_1,callcenter,Rio de Janeiro,Desktop
cliente_36,2024-07-16 02:18:28.742199,1465.72,,callcenter,,
cliente_37,2024-10-04 02:18:28.742213,459.68,produto_3,app,São Paulo,iOS
cliente_37,,1762.98,produto_3,web,Rio de Janeiro,Android
cliente_37,2024-10-14 02:18:28.742227,1187.88,produto_3,web,Curitiba,
cliente_37,2024-05-19 02:18:28.742232,853.17,produto_2,callcenter,São Paulo,
cliente_37,2025-03-15 02:18:28.742238,1990.36,produto_3,app,Belo Horizonte,iOS
cliente_37,2024-07-19 02:18:28.742243,1690.44,produto_3,callcenter,São Paulo,Desktop
cliente_37,2024-05-17 02:18:28.742254,1203.26,produto_1,app,Curitiba,Desktop
cliente_37,2025-01-09 02:18:28.742259,955.43,produto_1,app,Porto Alegre,Android
cliente_37,2025-04-27 02:18:28.742265,1630.0,produto_2,callcenter,Rio de Janeiro,
cliente_37,2025-02-11 02:18:28.742270,164.0,produto_4,app,Porto Alegre,Android
cliente_37,2024-12-14 02:18:28.742280,786.33,produto_1,,Belo Horizonte,iOS
cliente_37,2025-05-05 02:18:28.742287,863.83,produto_4,,São Paulo,Desktop
cliente_37,2024-07-30 02:18:28.742295,1218.03,,callcenter,São Paulo,
cliente_37,2025-04-03 02:18:28.742305,1492.5,produto_3,callcenter,Curitiba,Desktop
cliente_38,2024-11-22 02:18:28.742317,377.09,produto_2,callcenter,Belo Horizonte,Android
cliente_38,2024-10-05 02:18:28.742325,354.6,produto_5,,São Paulo,Desktop
cliente_38,2024-11-01 02:18:28.742334,1698.63,produto_1,callcenter,Porto Alegre,
cliente_38,2024-09-19 02:18:28.742343,1237.24,produto_3,app,São Paulo,Desktop
,2025-04-04 02:18:28.742351,,produto_5,web,Curitiba,Android
cliente_38,,1152.1,produto_3,app,Curitiba,Desktop
cliente_38,2024-11-12 02:18:28.742369,820.3,produto_2,app,Belo Horizonte,Android
cliente_38,2024-07-12 02:18:28.742377,1265.1,produto_1,web,Rio de Janeiro,iOS
cliente_38,2024-10-20 02:18:28.742386,875.73,produto_5,web,Porto Alegre,Desktop
cliente_38,2024-08-15 02:18:28.742397,713.22,produto_1,app,Belo Horizonte,Android
cliente_38,2025-04-22 02:18:28.742412,428.43,produto_4,,São Paulo,Desktop
cliente_38,2024-12-22 02:18:28.742418,215.22,produto_1,callcenter,Curitiba,Desktop
cliente_39,2025-04-28 02:18:28.742425,490.1,produto_3,app,São Paulo,Desktop
cliente_39,2024-12-04 02:18:28.742430,557.72,produto_1,web,,Android
cliente_39,2025-02-02 02:18:28.742435,1183.82,produto_5,app,Curitiba,Desktop
cliente_39,2024-07-20 02:18:28.742440,384.34,produto_5,web,Rio de Janeiro,Desktop
cliente_39,2024-10-25 02:18:28.742446,833.85,produto_1,app,Curitiba,
cliente_39,,513.14,produto_1,web,Belo Horizonte,
cliente_39,2024-07-04 02:18:28.742463,939.94,produto_1,callcenter,Curitiba,Desktop
cliente_39,2024-06-01 02:18:28.742472,426.99,produto_1,app,Porto Alegre,Android
cliente_39,2024-10-23 02:18:28.742480,,,app,Belo Horizonte,Desktop
cliente_39,,204.93,produto_4,callcenter,São Paulo,
cliente_39,2024-10-12 02:18:28.742501,1182.08,produto_1,app,Curitiba,Desktop
cliente_39,2024-07-28 02:18:28.742507,1480.21,produto_2,app,Belo Horizonte,iOS
cliente_39,2025-02-02 02:18:28.742515,148.86,produto_1,app,Curitiba,Desktop
cliente_39,2024-11-02 02:18:28.742524,1117.78,produto_1,web,Curitiba,Desktop
cliente_40,2024-11-09 02:18:28.742544,1985.09,produto_4,callcenter,,Android
,2024-08-06 02:18:28.742550,344.55,produto_4,web,Rio de Janeiro,iOS
